Few people in the advertising business have raised as many hackles as Alvin A. Achenbaum .	have raised	Few people in the advertising business	as many hackles
Strong sales so far this year are certain to turn the tide , but even the 25 % market share that Nissan expects in 1989 will leave it far below its position at the beginning of the decade .	are certain to turn	Strong sales	the tide
Strong sales so far this year are certain to turn the tide , but even the 25 % market share that Nissan expects in 1989 will leave it far below its position at the beginning of the decade .	will leave	even the 25 % market share that Nissan expects in 1989	it
Strong sales so far this year are certain to turn the tide , but even the 25 % market share that Nissan expects in 1989 will leave it far below its position at the beginning of the decade .	expects	Nissan	market share
But it appears to be the sort of hold one makes while heading for the door .	appears to be	it	the sort of hold one makes while heading for the door
But it appears to be the sort of hold one makes while heading for the door .	makes	one	the sort of hold
But it appears to be the sort of hold one makes while heading for the door .	heading for	one	the door
He talked to McGee about using his name and received permission , which is confirmed by correspondence between McGee and his family .	talked to	He	McGee
He talked to McGee about using his name and received permission , which is confirmed by correspondence between McGee and his family .	is confirmed by	using his name and received permission	correspondence between McGee and his family
One example could be `` Time '' , the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon '' , which contains a reprise of `` Breathe '' , the first song of the same album .		`` Time ''	the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon ''
One example could be `` Time '' , the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon '' , which contains a reprise of `` Breathe '' , the first song of the same album .	could be	One example	`` Time ''
One example could be `` Time '' , the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon '' , which contains a reprise of `` Breathe '' , the first song of the same album .	contains	`` The Dark Side Of The Moon ''	a reprise of `` Breathe ''
One example could be `` Time '' , the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon '' , which contains a reprise of `` Breathe '' , the first song of the same album .		`` Breathe ''	the first song of the same album
One example could be `` Time '' , the fifth song from Pink Floyd 's 1973 album `` The Dark Side Of The Moon '' , which contains a reprise of `` Breathe '' , the first song of the same album .		`` The Dark Side Of The Moon ''	Pink Floyd 's 1973 album
Although no specific agreements are expected , Mr. Shevardnadze said `` that does n't mean they will be without an agenda . ''	said	Mr. Shevardnadze	`` that does n't mean they will be without an agenda . ''
Although no specific agreements are expected , Mr. Shevardnadze said `` that does n't mean they will be without an agenda . ''	does n't mean	that	they will be without an agenda
Although no specific agreements are expected , Mr. Shevardnadze said `` that does n't mean they will be without an agenda . ''	will be without	they	an agenda
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	is not derived from	the Samaritan ethnonym	the region of Samaria
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	were	they	the `` Guardians '' of the true Israelite religion
In 1990 Kelsang Gyatso became also outspoken against the Geshe Studies Programme , and `` made the pursuit of his new programmes compulsory . ''	became	Kelsang Gyatso	outspoken against the Geshe Studies Programme
In 1990 Kelsang Gyatso became also outspoken against the Geshe Studies Programme , and `` made the pursuit of his new programmes compulsory . ''	made	Kelsang Gyatso	the pursuit of
The lodge is open from mid-May to mid-October , with two weeks starting in the end of August reserved for the Dartmouth First-Year Trips .	reserved for	two weeks	the Dartmouth First-Year Trips
First Boston incurred millions of dollars of losses on Campeau securities it owned as well as on special securities it could n't sell .	incurred	First Boston	millions of dollars of losses on Campeau securities it owned as well as on special securities it could n't sell
First Boston incurred millions of dollars of losses on Campeau securities it owned as well as on special securities it could n't sell .	owned	it	Campeau securities
First Boston incurred millions of dollars of losses on Campeau securities it owned as well as on special securities it could n't sell .	could n't sell	it	special securities
In Canada , there are two organizations that regulate university and collegiate athletics .	regulate	two organizations	university and collegiate athletics
The dialects they speak are similar but have different intonations .	are	The dialects they speak	similar
The dialects they speak are similar but have different intonations .	have	The dialects they speak	different intonations
The dialects they speak are similar but have different intonations .	speak	they	The dialects
Sukhum functioned as the capital of the `` Union treaty '' Abkhaz Soviet Socialist Republic associated with the Georgian SSR from 1921 until 1931 , when it became the capital of the Abkhazian Autonomous Soviet Socialist Republic within the Georgian SSR .	functioned as	Sukhum	the capital of the `` Union treaty '' Abkhaz Soviet Socialist Republic associated with the Georgian SSR
Sukhum functioned as the capital of the `` Union treaty '' Abkhaz Soviet Socialist Republic associated with the Georgian SSR from 1921 until 1931 , when it became the capital of the Abkhazian Autonomous Soviet Socialist Republic within the Georgian SSR .	associated with	`` Union treaty '' Abkhaz Soviet Socialist Republic	the Georgian SSR
Sukhum functioned as the capital of the `` Union treaty '' Abkhaz Soviet Socialist Republic associated with the Georgian SSR from 1921 until 1931 , when it became the capital of the Abkhazian Autonomous Soviet Socialist Republic within the Georgian SSR .	became	it	the capital of the Abkhazian Autonomous Soviet Socialist Republic within the Georgian
Her image held aloft signifies the Earth , which `` hangs in the air '' .	signifies	Her image held aloft	the Earth
Her image held aloft signifies the Earth , which `` hangs in the air '' .	hangs in	the Earth	the air
He sold them well below market value to raise cash `` to pay off mounting credit - card debts , '' incurred to buy presents for his girlfriend , his attorney , Philip Russell , told IFAR .	sold	He	them
He sold them well below market value to raise cash `` to pay off mounting credit - card debts , '' incurred to buy presents for his girlfriend , his attorney , Philip Russell , told IFAR .	incurred to buy	He	presents
He sold them well below market value to raise cash `` to pay off mounting credit - card debts , '' incurred to buy presents for his girlfriend , his attorney , Philip Russell , told IFAR .		Philip Russell	his attorney
Since the real estate unit also includes debt , the imputed value of the real estate itself is close to $ 3 billion .	also includes	the real estate	debt
Since the real estate unit also includes debt , the imputed value of the real estate itself is close to $ 3 billion .	is close to	the imputed value of the real estate itself	$ 3 billion
Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .	died of	Burnham	heart failure
In Van Howe 's study , all cases of meatal stenosis were among circumcised boys .	were	all cases of meatal stenosis	among circumcised boys
On May 13 , 2010 , Yost was named manager of the Kansas City Royals , replacing Trey Hillman .	was named	Yost	manager of the Kansas City Royals
On May 13 , 2010 , Yost was named manager of the Kansas City Royals , replacing Trey Hillman .	replacing	Yost	Trey Hillman
Jaguar 's own defenses against a hostile bid are weakened , analysts add , because fewer than 3 % of its shares are owned by employees and management .	add	analysts	Jaguar 's own defenses against a hostile bid are weakened
Jaguar 's own defenses against a hostile bid are weakened , analysts add , because fewer than 3 % of its shares are owned by employees and management .	are owned by	fewer than 3 % of its shares	employees and management
The residue can be reprocessed for more dripping and strained through a cheesecloth lined sieve as an ingredient for a fine beef stock .	can be reprocessed	The residue	for more dripping
The residue can be reprocessed for more dripping and strained through a cheesecloth lined sieve as an ingredient for a fine beef stock .	 strained through	The residue	a cheesecloth lined sieve
