Barra , 51 , will be the first woman to lead a firm in the American auto industry .	will be 	Barra 	the first woman to lead a firm in the American auto industry 
The report calls on Police Scotland to remind officers of standard procedure for dealing with suspected drink-driving calls .	for dealing with 	officers 	suspected drink-driving calls 
The Scottish Parliament approved a bill to legalise same-sex marriage by a free vote of 105 -- 18 .	approved 	The Scottish Parliament 	a bill 
The Scottish Parliament approved a bill to legalise same-sex marriage by a free vote of 105 -- 18 .	to legalise 	a bill 	same-sex marriage 
The Scottish Parliament approved a bill to legalise same-sex marriage by a free vote of 105 -- 18 .	of 	a free vote 	105 -- 18 
The Bill was opposed by religious bodies including the Church of Scotland and the Roman Catholic Church .	was opposed by 	The Bill 	religious bodies 
The Bill was opposed by religious bodies including the Church of Scotland and the Roman Catholic Church .	including 	religious bodies 	the Church of Scotland 
The Bill was opposed by religious bodies including the Church of Scotland and the Roman Catholic Church .	including 	religious bodies 	the Roman Catholic Church 
I am proud that the Scottish Parliament has taken this progressive and hugely important decision in favour of equal rights in our country .	am proud 	I 	that the Scottish Parliament has taken this progressive and hugely important decision in favour of equal rights in our country 
I am proud that the Scottish Parliament has taken this progressive and hugely important decision in favour of equal rights in our country .	has taken 	the Scottish Parliament 	this progressive and hugely important decision in favour of equal rights in our country 
The top deck of the bus was crushed on one side after hitting the truck and spinning .	was crushed 	The top deck of the bus 	on one side 
The top deck of the bus was crushed on one side after hitting the truck and spinning .	after hitting 	The top deck of the bus 	the truck 
The top deck of the bus was crushed on one side after hitting the truck and spinning .	spinning 	The top deck of the bus 	 
The students aboard ranged from ten-year-olds to young teens and had been headed from their Nakhon Ratchasima school to Pattaya .	aboard ranged from 	The students 	ten-year-olds to young teens 
The students aboard ranged from ten-year-olds to young teens and had been headed from their Nakhon Ratchasima school to Pattaya .	had been headed from 	The students 	their Nakhon Ratchasima school to Pattaya 
The bus was carrying around 60 female students , with a boys ' bus from the school following behind .	was carrying 	The bus 	around 60 female students 
The bus was carrying around 60 female students , with a boys ' bus from the school following behind .	following 	a boys ' bus from the school 	behind 
The second bus escaped the accident .	escaped 	The second bus 	the accident 
The road is in a national park which prevents upgrade works like widening , according to Nuttapong Boontob of the Thailand Accident Research Center .	is in 	The road 	a national park 
The road is in a national park which prevents upgrade works like widening , according to Nuttapong Boontob of the Thailand Accident Research Center .	prevents 	a national park 	upgrade works like widening 
The road is in a national park which prevents upgrade works like widening , according to Nuttapong Boontob of the Thailand Accident Research Center .	is of 	Nuttapong Boontob 	the Thailand Accident Research Center 
Police Lieutenant Colonel Anukarn Thammavijarn said police theorise the vehicle 's `` brakes may have failed or the driver might have fallen asleep . ''	said 	Police Lieutenant Colonel Anukarn Thammavijarn 	police theorise the vehicle 's `` brakes may have failed 
Police Lieutenant Colonel Anukarn Thammavijarn said police theorise the vehicle 's `` brakes may have failed or the driver might have fallen asleep . ''	said 	Police Lieutenant Colonel Anukarn Thammavijarn 	the driver might have fallen asleep 
Thammavijarn said the bus was out-of-control and going downhill when it struck the 18-wheeled truck from behind .	said 	Thammavijarn 	the bus was out-of-control and going downhill 
Thammavijarn said the bus was out-of-control and going downhill when it struck the 18-wheeled truck from behind .	struck 	the bus 	the 18-wheeled truck from behind 
He cited the old appearance of the vehicle as a reason to suspect brake failure for the accident .	cited 	He 	the old appearance of the vehicle 
He cited the old appearance of the vehicle as a reason to suspect brake failure for the accident .	suspect 	He 	brake failure 
He cited the old appearance of the vehicle as a reason to suspect brake failure for the accident .	for 	brake failure 	the accident 
The crash injured a further 47 people .	injured 	The crash 	a further 47 people 
A row of covered bodies was formed beside the wreckage .	was formed 	A row of covered bodies 	beside the wreckage 
Wounds include broken bones .	include 	Wounds 	broken bones 
Road accident rates are among the world 's highest in Thailand ; last December a bus fell off a bridge , killing 29 .	are 	Road accident rates 	among the world 's highest in Thailand 
Road accident rates are among the world 's highest in Thailand ; last December a bus fell off a bridge , killing 29 .	fell off 	a bus 	a bridge 
Road accident rates are among the world 's highest in Thailand ; last December a bus fell off a bridge , killing 29 .	killing 	a bus 	29 
Road accidents killed 8,600 on the nation 's roads last year .	killed 	Road accidents 	8,600 
Road accidents killed 8,600 on the nation 's roads last year .	on 	8,600 	the nation 's roads 
Road accidents killed 8,600 on the nation 's roads last year .	last year 	the nation 's roads 	. 
Legislation does not require bus passengers to wear seatbelts .	does not require 	Legislation 	bus passengers to wear seatbelts 
Craven went on to say that much of the discussion about the politics of sport took place because the media had a void to fill before the start of sporting events , and he thought it would die down after the Games got under way .	went on to say 	Craven 	that much of the discussion about the politics of sport took place because the media had a void to fill before the start of sporting events 
Craven went on to say that much of the discussion about the politics of sport took place because the media had a void to fill before the start of sporting events , and he thought it would die down after the Games got under way .	thought 	he 	it would die down after the Games got under way 
Craven also remarked that it was better to create change from the inside , rather than the outside .	also remarked 	Craven 	that it was better to create change from the inside 
Craven also remarked that it was better to create change from the inside , rather than the outside .	also remarked 	Craven 	rather than the outside 
In response to a question from a French journalist about the decision of French leaders not to attend the opening ceremonies tonight , Craven said he was disappointed for the athletes because the politicians were making a choice to make this about politics , and not about sport .	said 	Craven 	he was disappointed for the athletes 
In response to a question from a French journalist about the decision of French leaders not to attend the opening ceremonies tonight , Craven said he was disappointed for the athletes because the politicians were making a choice to make this about politics , and not about sport .	were making 	the politicians 	a choice to make this about politics 
In response to a question from a French journalist about the decision of French leaders not to attend the opening ceremonies tonight , Craven said he was disappointed for the athletes because the politicians were making a choice to make this about politics , and not about sport .	not to attend 	French leaders 	the opening ceremonies tonight 
Craven repeated the Games should be about sport .	repeated 	Craven 	the Games should be about sport 
Craven said in response to another question it would be possible for the Ukrainians to boycott the opening ceremony	said 	Craven 	in response to another question it would be possible for the Ukrainians to boycott the opening ceremony 
IPC Communications Director Craig Spence said that the Ukraine Paralympic Committee delayed their welcome ceremony into the Paralympic Village by two hours yesterday , and the IPC approved the decision .	said 	Craig Spence 	that the Ukraine Paralympic Committee delayed their welcome ceremony into the Paralympic Village by two hours yesterday 
IPC Communications Director Craig Spence said that the Ukraine Paralympic Committee delayed their welcome ceremony into the Paralympic Village by two hours yesterday , and the IPC approved the decision .	delayed 	Ukraine Paralympic Committee 	their welcome ceremony into the Paralympic Village by two hours yesterday 
IPC Communications Director Craig Spence said that the Ukraine Paralympic Committee delayed their welcome ceremony into the Paralympic Village by two hours yesterday , and the IPC approved the decision .	approved 	the IPC 	the decision 
The story that the Ukrainians delayed their welcome ceremony as a political statement was one the IPC would investigate , and would largely be contingent upon what they said at the press conference the Ukrainians called for today at 1:30 PM Sochi local time -LRB- 0930 UTC -RRB- .	delayed 	the Ukrainians 	their welcome ceremony 
The story that the Ukrainians delayed their welcome ceremony as a political statement was one the IPC would investigate , and would largely be contingent upon what they said at the press conference the Ukrainians called for today at 1:30 PM Sochi local time -LRB- 0930 UTC -RRB- .	would investigate 	the IPC 	the story 
The story that the Ukrainians delayed their welcome ceremony as a political statement was one the IPC would investigate , and would largely be contingent upon what they said at the press conference the Ukrainians called for today at 1:30 PM Sochi local time -LRB- 0930 UTC -RRB- .	would largely be contingent upon 	what they said at the press conference the Ukrainians called for today at 1:30 PM Sochi local time -LRB- 0930 UTC -RRB- 	the story 
He said the world and the Paralympic movement is aware of the situation in the Ukraine , but the IPC needs to stay true to its mission .	said 	He 	the world and the Paralympic movement is aware of the situation in the Ukraine 
He said the world and the Paralympic movement is aware of the situation in the Ukraine , but the IPC needs to stay true to its mission .	needs to stay true 	the IPC 	to its mission 
Sir Philip Craven initially started his remarks at the press conference talking about the legacy of the Paralympic Games in terms of accessibility of sports in Sochi .	initially started 	Sir Philip Craven 	his remarks at the press conference 
Sir Philip Craven initially started his remarks at the press conference talking about the legacy of the Paralympic Games in terms of accessibility of sports in Sochi .	talking about 	Sir Philip Craven 	the legacy of the Paralympic Games 
Sir Philip Craven initially started his remarks at the press conference talking about the legacy of the Paralympic Games in terms of accessibility of sports in Sochi .	in terms of 	the legacy of the Paralympic Games 	accessibility of sports in Sochi 
Two people received significant injuries in the explosion , which also wounded eight others and sent fourteen victims into shock .	received 	Two people 	significant injuries in the explosion 
Two people received significant injuries in the explosion , which also wounded eight others and sent fourteen victims into shock .	wounded 	the explosion 	eight others 
Two people received significant injuries in the explosion , which also wounded eight others and sent fourteen victims into shock .	sent 	the explosion 	fourteen victims into shock 
He placed the device on the bus after rejecting several others he rode on as insufficiently crowded , according to the prosecution .	placed 	He 	the device on the bus 
He placed the device on the bus after rejecting several others he rode on as insufficiently crowded , according to the prosecution .	rejecting 	He 	several others he rode on 
He placed the device on the bus after rejecting several others he rode on as insufficiently crowded , according to the prosecution .	as 	several others he rode on 	insufficiently crowded 
He placed the device on the bus after rejecting several others he rode on as insufficiently crowded , according to the prosecution .	according to 	the prosecution 	 
Mafarja was convicted on his own plea last December in a deal which spared him a possible life sentence by dropping a charge of aiding an enemy at a time of war .	was convicted 	Mafarja 	on his own plea last December 
Mafarja was convicted on his own plea last December in a deal which spared him a possible life sentence by dropping a charge of aiding an enemy at a time of war .	spared 	Mafarja 	him a possible life sentence 
Mafarja was convicted on his own plea last December in a deal which spared him a possible life sentence by dropping a charge of aiding an enemy at a time of war .	dropping 	a deal 	a charge of aiding an enemy at a time of war 
Later that day an unrelated ceasefire was brokered by Egypt .	was brokered 	Later that day 	an unrelated ceasefire 
Later that day an unrelated ceasefire was brokered by Egypt .	was brokered by 	an unrelated ceasefire 	Egypt 
The sentence was the highest allowed by the deal .	was 	The sentence 	the highest allowed by the deal 
Laviv Habib , representing Mafarja , cited the defendant 's young age , and his guilty pleas , in mitigation .	representing 	Laviv Habib 	Mafarja 
Laviv Habib , representing Mafarja , cited the defendant 's young age , and his guilty pleas , in mitigation .	cited 	Laviv Habib 	the defendant 's young age 
Laviv Habib , representing Mafarja , cited the defendant 's young age , and his guilty pleas , in mitigation .	cited 	Laviv Habib 	his guilty pleas 
Laviv Habib , representing Mafarja , cited the defendant 's young age , and his guilty pleas , in mitigation .	cited 	Laviv Habib 	in mitigation 
He also said the device was a `` weak bomb '' not designed to kill but acknowledged his client 's actions were `` not simple '' and Mafarja understood fatalities were possible .	also said 	He 	the device was a `` weak bomb '' 
He also said the device was a `` weak bomb '' not designed to kill but acknowledged his client 's actions were `` not simple '' and Mafarja understood fatalities were possible .	were 	his client 's actions 	`` not simple '' 
He also said the device was a `` weak bomb '' not designed to kill but acknowledged his client 's actions were `` not simple '' and Mafarja understood fatalities were possible .	understood 	Mafarja 	fatalities were possible 
